SP,Echaporã,-50.20144,-22.42954,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3514700
MG,Ipanema,-41.71337,-19.80155,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3131208
MG,Cachoeira de Minas,-45.77941,-22.35555,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3109709
GO,São Patrício,-49.81842,-15.35051,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5220280
BA,Candeias,-38.55134,-12.66852,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2906501
BA,Piripá,-41.72036,-14.94053,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2924702
MG,Cascalho Rico,-47.87742,-18.57653,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3115003
RN,Maxaranguape,-35.2623,-5.51648,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2407500
MT,Nova Marilândia,-56.96946,-14.3645,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5108857
MG,Santa Bárbara do Monte Verde,-43.70239,-21.95955,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3157278
ES,Boa Esperança,-40.29636,-18.54055,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3201001
BA,Ubaíra,-39.66335,-13.26852,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2932101
RS,Dona Francisca,-53.35749,-29.62254,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4306700
TO,Cristalândia,-49.19341,-10.60049,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1706100
PA,Picuí,-36.34931,-6.55548,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2511400
GO,Turvânia,-50.13443,-16.61452,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5221502
SC,Sombrio,-49.62946,-29.10455,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4217709
MG,Rio Manso,-44.30839,-20.26554,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3155306
MG,José Gonçalves de Minas,-42.60437,-16.90753,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3136520
MG,Joanésia,-42.67938,-19.17254,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3136108
SP,Ibirá,-49.24143,-21.08054,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3519402
AL,Coruripe,-36.17631,-10.12651,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2702306
PI,Ipiranga do Piauí,-41.74135,-6.82848,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2204808
PA,Emas,-37.71632,-7.10848,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2505907
PI,Pimenteiras,-41.41935,-6.24548,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2208106
PI,Novo Oriente do Piauí,-41.93936,-6.44948,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2206902
SE,Barra dos Coqueiros,-37.03932,-10.90951,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2800605
MG,Resende Costa,-44.2384,-20.92255,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3154200
RS,Jaguarão,-53.37651,-32.56654,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4311007
MG,Seritinga,-44.5194,-21.90955,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3166402
AL,Minador do Negrão,-36.86532,-9.3055,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2705309
MG,Dores de Campos,-44.02339,-21.10955,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3123007
RS,Chuvisca,-51.97849,-30.75855,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4305447
SC,Luzerna,-51.46747,-27.13354,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4210035
TO,Crixás do Tocantins,-48.91941,-11.1005,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1706258
MT,Santo Afonso,-57.00246,-14.4985,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5107263
MG,Virgínia,-45.09241,-22.33355,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3171709
MG,Pingo-d&apos,Água,-42.40838,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3150539
PI,Massapê do Piauí,-41.12635,-7.46348,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2206050
CE,Ipaumirim,-38.71933,-6.79048,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2305704
BA,Aporá,-38.08133,-11.66051,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2901908
BA,Várzea da Roça,-40.13735,-11.60751,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2933059
SP,Anhumas,-51.38745,-22.29553,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3502408
RS,Barão do Triunfo,-51.73449,-30.38855,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4301750
PE,Tuparetama,-37.31132,-7.60249,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2615904
PI,Caridade do Piauí,-40.99035,-7.73349,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2202554
MG,Cedro do Abaeté,-45.7114,-19.14854,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3115607
PA,Capanema,-53.80948,-25.67253,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4104501
BA,Baixa Grande,-40.16835,-11.96051,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2902609
SP,Santo Antônio de Posse,-46.91942,-22.60655,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3548005
BA,Castro Alves,-39.42834,-12.76652,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2907301
SC,Chapecó,-52.61848,-27.09654,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4204202
MA,Joselândia,-44.70037,-4.96747,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2105609
PA,Bom Sucesso do Sul,-52.83447,-26.07654,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4103222
PA,São João do Rio do Peixe,-38.44933,-6.72948,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2500700
MG,Bom Repouso,-46.14541,-22.47155,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3107901
PA,Monteiro,-37.12032,-7.88949,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2509701
BA,Pindaí,-42.68737,-14.49352,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2924504
GO,Aruanã,-51.08343,-14.92051,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=5202502
RO,Vale do Anari,-62.18648,-9.86347,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1101757
BA,Cardeal da Silva,-37.94933,-11.94251,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2907004
SP,Santo Antônio do Aracanguá,-50.49644,-20.93753,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3548054
MA,Riachão,-46.61739,-7.36248,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2109502
AC,Marechal Thaumaturgo,-72.79252,-8.94146,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=1200351
CE,Amontada,-39.83134,-3.36146,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2300754
PA,Santa Teresinha,-37.45232,-7.11648,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=2513802
RS,Vicente Dutra,-53.40548,-27.16254,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4323101
MG,Raul Soares,-42.45338,-20.10255,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3154002
RS,Antônio Prado,-51.28347,-28.85855,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=4300802
MG,Pompéu,-44.9354,-19.22454,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3152006
SP,Santa Clara d&apos,Oeste,-50.95444,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3546108
MG,Luislândia,-44.58939,-16.11853,http://www.sidra.ibge.gov.br/bda/territorio/infomun.asp?codmun=3138682
